date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-08-31 00:00:00,0.4,-5.9,10,,,297,16.2,,,
2018-09-01 00:00:00,3.1,-5.9,7.2,,,342,18.5,,,
2018-09-02 00:00:00,3.9,0.2,8,,,296,39.4,,991.1,
2018-09-03 00:00:00,4.2,2,8.3,,,326,39,,,
2018-09-04 00:00:00,2.9,-0.5,6.8,0,,266,40.8,,987.4,
2018-09-05 00:00:00,4.3,-0.4,9,,,318,21.9,,1003.4,
2018-09-06 00:00:00,3.8,1,8.8,0,,31,12.2,,,
2018-09-07 00:00:00,3.9,-0.6,9,0.8,,286,16.7,,,
2018-09-08 00:00:00,2.8,-2.8,9.6,0,,314,26.7,,,
2018-09-09 00:00:00,4.9,0,11,,,333,19.6,,,
2018-09-10 00:00:00,3.6,0.7,10.8,,,26,13.7,,,
2018-09-11 00:00:00,4.7,-0.8,10.3,,,300,27.1,,,
2018-09-12 00:00:00,5.4,1.5,10.7,,,307,37.8,,996.2,
2018-09-13 00:00:00,8.2,3.2,12,,,300,38.9,,989.8,
2018-09-14 00:00:00,5.4,2,12.6,2,,324,24,,,
2018-09-15 00:00:00,4.3,1,8.1,4.1,,276,41.2,,,
2018-09-16 00:00:00,2.8,-2,6,0,,133,14.6,,1004.8,
2018-09-17 00:00:00,3.8,-1,7,,,159,20.2,,996.2,
2018-09-18 00:00:00,1.2,-2.7,6,0,,289,15.4,,,
2018-09-19 00:00:00,1.1,-4.1,8,0,,290,11.9,,1007.9,
2018-09-20 00:00:00,3.2,0.5,5,,,128,12.2,,,
2018-09-21 00:00:00,1.1,-2.6,6,0,,188,13.1,,,
2018-09-22 00:00:00,-0.3,-5.3,5.5,,,228,10.1,,,
2018-09-23 00:00:00,1.4,-4,6,,,212,12.5,,,
2018-09-24 00:00:00,1.8,-5,10,,,238,13.2,,,
2018-09-25 00:00:00,1.4,-5.3,9.6,,,254,12.1,,,
2018-09-26 00:00:00,1,-7,8.6,,,300,13.6,,,
2018-09-27 00:00:00,2,-4,10.2,,,331,22.5,,1007.5,
2018-09-28 00:00:00,4.6,0.3,8.2,,,333,12.1,,993.3,
2018-09-29 00:00:00,3.6,1.8,8.5,1,,194,15.4,,989.3,
2018-09-30 00:00:00,0.8,-5,4.2,3,,217,17,,,
2018-10-01 00:00:00,1.8,-3,9,0,,275,22.2,,,
2018-10-02 00:00:00,3.6,-0.5,9.5,0,,253,27.2,,,
2018-10-03 00:00:00,4.2,-2,11,,,243,25.5,,,
2018-10-04 00:00:00,2.3,-5.3,11,,,275,17,,1015.6,
2018-10-05 00:00:00,7.3,-0.8,12.6,0,,279,27.4,,,
2018-10-06 00:00:00,6.2,3.9,12.6,,,321,20.9,,993.6,
2018-10-07 00:00:00,6.6,3,10,,,286,33.3,,,
2018-10-08 00:00:00,4.2,-1,11,,,344,19,,,
2018-10-09 00:00:00,4.7,-0.5,9.1,0,,200,17.9,,,
2018-10-10 00:00:00,6,-2,,,,,,,,
2018-10-11 00:00:00,6.7,3,13.6,,,290,28.9,,1007,
2018-10-12 00:00:00,7.8,3,11.7,0,,292,38,,,
2018-10-13 00:00:00,5.9,1.6,11,,,272,44.7,,990.3,
2018-10-14 00:00:00,5.1,-1,12,,,286,25,,,
2018-10-15 00:00:00,3.6,1,12,13,,5,33.2,,,
2018-10-16 00:00:00,4.4,1,9,17,,223,25.9,,,
2018-10-17 00:00:00,4.2,0.8,9,0,,158,25.8,,,
2018-10-18 00:00:00,5,-3,15,,,268,14.9,,1033.7,
2018-10-19 00:00:00,3.3,-4,14.9,,,0,10.6,,,
2018-10-20 00:00:00,4.8,-2.4,12.1,,,357,17.7,,,
