Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-05-14,0.0758730570475257,1.718271600910355,0.9964936460386298,242.55543818503276,2018-05-14,-3.3,-8.0,4.0,234.0,10.6,2.944444444444444,2.4198518494351022,Bajo,1
2018-05-15,412.72642224631215,4.3690044648117405,495.7215100836435,200.6335395839475,2018-05-15,-2.3,-7.5,5.0,238.0,16.0,4.444444444444445,4.260291567775933,Bajo,0
2018-05-16,1709.6501555972611,8.731717003716339,2022.6290633046835,212.0145417319399,2018-05-16,1.5,-5.0,8.0,233.0,10.8,3.0,6.339030202229804,Bajo,0
2018-05-17,1137.9690324258456,7.608837347891583,1456.008292032834,220.0343813366356,2018-05-17,-1.2,-7.0,8.0,201.0,8.1,2.25,5.71530240873495,Bajo,0
2018-05-19,143.84060351604566,3.85941213369369,202.1242248830884,146.51997376647222,2018-05-19,6.7,-0.2,8.3,352.0,23.3,6.472222222222222,3.6300917246606583,Bajo,0
2018-05-20,719.7482050094327,6.227729735275105,837.3224535548867,52.695603364043706,2018-05-20,3.3,-0.4,8.0,295.0,19.6,5.444444444444445,4.8655267300539515,Bajo,0
2018-05-21,1661.736374749075,8.654518233405211,1933.618766688212,65.55344655778669,2018-05-21,4.3,-0.5,7.4,286.0,27.5,7.638888888888888,6.770488717820904,Bajo,0
2018-05-22,658.5114083554995,5.869301680061548,744.885180314135,54.81198094950776,2018-05-22,1.5,-2.0,6.3,275.0,14.4,4.0,4.521581008036929,Bajo,0
2018-05-23,99.11216402677286,3.7233196248610767,134.7871090350687,94.40677234861568,2018-05-23,0.6,-2.0,5.5,272.0,13.9,3.861111111111111,3.2062139971388683,Bajo,0
2018-05-24,505.0614063905333,4.994922348194646,620.7603934616434,113.90417815579286,2018-05-24,3.1,-2.0,5.3,251.0,9.9,2.75,3.746953408916788,Bajo,0
2018-05-25,1751.3762014177084,8.470168718033353,1913.1994712813053,50.43878463904058,2018-05-25,5.3,3.0,8.0,106.0,11.9,3.3055555555555554,5.443212341931123,Bajo,0
2018-05-26,2480.626068115232,10.160634332232975,2646.302498682468,40.97206405798589,2018-05-26,6.3,4.6,8.2,270.0,19.5,5.416666666666667,6.719713932673119,Bajo,0
2018-05-27,1565.491297945061,8.27117866150875,1742.730654159195,54.43432444038114,2018-05-27,1.9,-3.0,8.0,268.0,18.5,5.138888888888888,6.290484974683028,Bajo,0
2018-05-28,1683.245702107745,8.492221375306436,1851.202237008076,33.331970618830745,2018-05-28,-1.6,-5.0,4.4,288.0,17.3,4.805555555555555,6.556443936294972,Bajo,0
2018-05-29,1379.3818225198306,7.616618078615916,1501.679058861546,42.61582859357193,2018-05-29,1.9,-4.0,4.0,278.0,26.6,7.388888888888889,6.4477486249473275,Bajo,0
2018-05-31,1170.3346726099635,7.415396418836376,1335.184718003217,34.64478409290309,2018-05-31,4.5,2.6,6.0,269.0,34.6,9.61111111111111,6.111460073524048,Bajo,0
2018-06-01,1724.368165122136,8.77644612722925,1896.5716168809709,49.66398097409138,2018-06-01,5.4,1.0,8.0,255.0,28.3,7.861111111111111,6.738089898559772,Bajo,0
2018-06-02,888.6125541776404,6.780076174272425,1028.7622135342765,56.3551658391952,2018-06-02,1.9,-1.3,8.2,260.0,15.3,4.25,5.048045704563456,Bajo,0
2018-06-03,361.8360408246509,4.978749253683614,448.4285183291486,57.59917502353582,2018-06-03,2.8,-1.5,7.1,283.0,14.1,3.9166666666666665,3.9205828855435017,Bajo,0
2018-06-04,44.40320712327947,2.8977778944766706,73.17342020483038,230.064960324539,2018-06-04,-1.0,-8.5,8.1,245.0,13.8,3.8333333333333335,3.355333403352669,Bajo,1
